,log,date,year
43,"An NU student reported being robbed by an unarmed suspect at Shillman Hall. The suspect ran off, dropping the student’s stolen phone. A report was filed.",2020-02-03 21:39:00,2020
44,The manager of Wollaston’s Market in Marino Recreation Center reported an NU student who was shoplifting and left the area. A report was filed. ,2020-02-04 11:47:00,2020
45,An NU student reported his bike was stolen from the front of ISEC sometime between Jan. 31 and Feb. 4. A report was filed. ,2020-02-04 13:58:00,2020
46,An NU staff member reported her university iPhone was stolen from her office at Nightingale Hall. A report was filed. ,2020-02-05 09:01:00,2020
47,A security guard reported speaking to a former NU student inside Egan Research Center. Officers reported the former student was previously banned from all NU property. Officers reported the student will be summoned for violating his trespass. A report was filed.,2020-02-05 09:23:00,2020
48,A residence director from Light Hall reported that the elevator lights had been punched out. A report was filed. ,2020-02-06 17:30:00,2020
49,An officer reported that an NU student was assaulted on Gainsborough Street the night before. A report was filed. ,2020-02-07 08:40:00,2020
50,An NU student reported their package was stolen from 1065 Tremont St. A report was filed. ,2020-02-07 17:53:00,2020
51,A proctor reported an intoxicated man unaffiliated with NU in the lobby of Stetson West who refused to leave. Officers reported banning the man from all NU property and calling an ambulance to transport him to Boston Medical Center for further assistance. A report was filed.,2020-02-07 21:30:00,2020
52,A student in West Village B reported that her cell phone was possibly stolen. A report was filed.,2020-02-08 19:54:00,2020
53,A resident assistant from Davenport A reported that an NU student was intoxicated in their room. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-02-09 00:22:00,2020
54,A proctor reported an intoxicated NU student in the East Village lobby. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center.  A report was filed. ,2020-02-09 00:39:00,2020
55,An officer reported finding a man in West Village H who was previously banned from all NU property. The man was escorted off campus and will be summoned at a later date. A report was filed.,2020-02-09 17:24:00,2020
56,An NU student in 650 Columbus Ave. reported ordering an iPhone online only to find it missing from the box she received. A report was filed. ,2020-01-27 21:25:00,2020
57,An NU student reported a man unaffiliated with NU who appeared to be homeless in the lobby of International Village. The man had several active warrants and was placed under arrest. A report was filed.,2020-01-28 10:35:00,2020
58,The Boston Police Department reported an unarmed robbery in front of Symphony Hall. Officers reported placing two people under arrest. A report was filed. ,2020-01-28 18:59:00,2020
59,An NU student’s fake ID was found in a wallet turned into the lost and found in Kennedy Hall. A report was filed. ,2020-01-29 01:46:00,2020
60,A staff member at Marino Recreation Center reported a fight between two NU students. A report was filed. ,2020-01-29 10:11:00,2020
61,The manager of Wollaston’s Market in Marino Recreation Center reported an NU student filled his pockets with items and left the store without paying. Officers banned the student from both Wollaston’s Market locations. A report was filed.,2020-01-29 17:24:00,2020
62,Security reported that a former student’s ID card was not working in Shillman Hall. Officers reported the student had been previously banned from all NU property and will be summoned for trespassing. A report was filed.,2020-01-29 20:39:00,2020
63,The manager of Wollaston’s Market in Marino Recreation Center reported observing a group of shoplifters on camera on Jan. 27. A report was filed. ,2020-01-30 08:16:00,2020
64,An NU student reported her ID was stolen from a table in Levine Marketplace. A report was filed.,2020-01-30 09:48:00,2020
65,An NU student reported that his bike was stolen from outside West Village G on Jan. 21. A report was filed. ,2020-01-30 20:34:00,2020
66,An NU student reported a fight involving three people outside of Burstein Hall. Officers responded and reported the parties were just screaming and no physical fighting occurred. A report was filed. ,2020-01-30 20:47:00,2020
67,A detective reported stopping a car on Forsyth Way and speaking to an NU student along with a Drizly employee. The detective reported finding illegally-obtained alcohol and confiscating it. A report was filed. ,2020-01-30 21:19:00,2020
68,An NU employee reported observing an NU student and a man unaffiliated with NU smoking marijuana and screaming near Columbus Garage. Officers reported the people admitted to the action. A report was filed. ,2020-01-30 23:23:00,2020
69,An NU student reported being assaulted by another student the prior evening at Two Saints Tavern on Gainsborough Street. The student does not wish to involve the BPD. A report was filed. ,2020-01-31 11:11:00,2020
70,The manager of Wollaston’s Market in Marino Recreation Center reported stopping an NU student who was shoplifting. The student was banned from both Wollaston’s Market locations. A report was filed. ,2020-01-31 13:20:00,2020
71,"The BPD reported an unarmed robbery on Huntington Avenue. Officers spoke to the victim, who was unaffiliated with NU, and checked the area with negative results. A report was filed. ",2020-01-31 13:55:00,2020
72,An officer reported stopping an NU student at West Village A in possession of alcohol. Officers reported the student was underage and the alcohol was confiscated. A report was filed.,2020-01-31 15:47:00,2020
73,An officer reported finding a former NU student in Shillman Hall who had been previously banned from NU property. The student will be summoned for violating their trespass. A report was filed. ,2020-01-31 21:53:00,2020
74,An NU student reported her unattended clothes were stolen from a laundry room in East Village. A report was filed. ,2020-01-31 23:45:00,2020
75,"A proctor reported observing an intoxicated NU student in Stetson West. Officers reporting finding the student in his room, unconscious but breathing. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center. ",2020-02-01 01:21:00,2020
76,Officers reported stopping two NU students who were smoking marijuana behind the Fenway Pumphouse. Officers reported confiscating less than one ounce of marijuana and a water pipe. A report was filed. ,2020-02-02 00:15:00,2020
77,"The manager of Wollaston’s Market in Marino Recreation Center reported three students shoplifting. Officers reported speaking to the students, who returned the stolen items. All the students were banned from both Wollaston’s Market locations. A report was filed. ",2020-02-02 00:32:00,2020
78,Officers responded to Ryder Hall to serve a warrant for an NU student and placed the student under arrest. A report was filed.,2020-01-14 13:23:00,2020
79,The manager of Wollaston’s Market in Marino Recreation Center reported a student stole an energy bar. A report was filed.,2020-01-15 07:54:00,2020
80,An MBTA transit police officer reported an armed robbery inside the pizza shop in Ruggles. Officers reported checking the area with negative results. A report was filed.,2020-01-16 17:09:00,2020
81,The manager of Wollaston’s Market in Marino Recreation Center reported a potential shoplifter in the store. Officers reported speaking to the NU student and banning him from both Wollaston’s locations. A report was filed.,2020-01-16 17:28:00,2020
82,"An NUPD sergeant requested Emergency Medical Services, or EMS, for an intoxicated NU student outside Smith Hall. EMS responded and cleared the student. A report was filed.",2020-01-19 01:25:00,2020
83,An NU plumber reported observing a man unaffiliated with NU who appeared to be sleeping in the Interdisciplinary Science and Engineering Complex. Officers reported stopping the man and banning him from all NU property. A report was filed.,2020-01-19 09:25:00,2020
84,A proctor in West Village A reported observing an intoxicated Boston College student in the lobby. Officers requested an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-01-20 00:42:00,2020
85,A resident assistant in East Village reported observing an intoxicated NU student in a common area. Officers requested an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-01-20 01:16:00,2020
86,An NU student reported her unattended bag was stolen from the atrium in Marino Recreation Center. A report was filed.,2020-01-20 11:43:00,2020
87,An NU student reported his unattended bag was stolen from Dodge Hall. A report was filed.,2020-01-21 14:00:00,2020
88,An NU student reported his bike was stolen from Robinson Quad. A report was filed.,2020-01-21 22:12:00,2020
89,An NU staff member reported observing a man unaffiliated with NU stealing a bike from outside Behrakis Hall. Officers responded and placed the man under arrest for larceny. A report was filed.,2020-01-22 16:29:00,2020
90,An NU student reported receiving an email from another student letting her know that a homeless man handed him her wallet outside Curry Student Center. The NU student reported her license was missing. A report was filed.,2020-01-24 13:45:00,2020
91,A proctor in West Village C reported observing an intoxicated NU student. Officers requested EMS and reported the student declined treatment. A report was filed.,2020-01-26 00:42:00,2020
92,An individual reported observing an intoxicated NU student in Speare Hall. Officers requested an ambulance to transport the student to Beth Israel Deaconess Medical Center. A report was filed. ,2020-01-26 00:52:00,2020
93,Officers reported locating a man unaffiliated with NU inside West Village H who was previously banned from NU property. Officers reported the man will be summoned for trespassing. A report was filed. ,2020-01-26 17:40:00,2020
94,"The Boston Police Department, or BPD, reported a shoplifting incident involving an NU student at the Apple Store on Boylston Street on Oct. 19. A report was filed.",2020-01-08 08:45:00,2020
95,BPD reported a shoplifting incident involving an NU student at the Apple Store on Boylston Street on Oct. 24. A report was filed.,2020-01-08 08:50:00,2020
96,"NUPD operations reported that a fire alarm was triggered in White Hall. Officers and the Boston Fire Department responded and reported smoke in one of the rooms. Officers reported finding bags of marijuana, multiple bottles of wine and fans in the windows. Officers reported no residents were present. A report was filed. ",2020-01-09 23:03:00,2020
97,"A resident assistant, or RA, in White Hall reported finding alcohol, marijuana and a knife in a room during health and safety inspections. An officer confiscated the items. A report was filed. ",2020-01-10 21:03:00,2020
98,A proctor reported observing two intoxicated NU students outside of West Village F. Officers responded and requested an ambulance to transport the students to Beth Israel Deaconess Medical Center for further evaluation. A report was filed. ,2020-01-10 23:25:00,2020
99,An officer reported an intoxicated NU student and requested an ambulance to transport the student to Beth Israel Deaconess Medical Center for further assistance. A report was filed. ,2020-01-11 00:51:00,2020
100,An individual reported observing a former NU student inside Shillman Hall. Officers reported that the former student has a criminal record and an active trespass from all NU property. Officers placed the former student under arrest for trespassing. A report was filed. ,2020-01-12 12:27:00,2020
101,An RA in Davenport A reported that a glass bulletin board on a residential floor was smashed and several items were stolen. A report was filed. ,2020-01-12 23:19:00,2020
102,A residence director in West Village A reported finding a bong during health and safety inspections. Officers confiscated the pipe. A report was filed.,2020-01-01 15:05:00,2020
103,"A man unaffiliated with NU reported his bike was stolen from the racks in front of the Interdisciplinary Science and Engineering Complex, or ISEC. A report was filed. ",2020-01-02 14:42:00,2020
104,An officer reported observing two men unaffiliated with NU engaging in drug activity near Camden Street. Officers reported both men had criminal records and one had an active warrant and placed both under arrest. A report was filed. ,2020-01-03 15:44:00,2020
105,"A man unaffiliated with NU reported his vehicle was struck by another moving car near 650 Columbus Ave. Officers reported the vehicle fled the scene, but were able to locate the suspect and arrested him for driving under the influence of alcohol. A report was filed. ",2020-01-05 01:20:00,2020
106,"An NU student reported observing a man trying to break the bike locks outside of Snell Library. Officers reported the suspect rode off with one stolen bike, heading toward Huntington Avenue. Officers checked the area with negative results. A report was filed. ",2020-01-05 17:27:00,2020
107,An officer reported observing a man who is banned from NU property on security camera footage. Officers responded and reported stopping the man in front of 289 Huntington Ave. and placing him under arrest for trespassing. A report was filed.,2019-12-09 10:42:00,2019
108,An NU student reported his unattended laptop charger was stolen from an International Village common room. A report was filed.,2019-12-09 12:49:00,2019
109,An officer reported observing a man unaffiliated with NU pushing a mountain bike while dragging a white suitcase in the alley behind St. Stephen Street. Officers responded and reported placing the man under arrest for a prior warrant. A report was filed.,2019-12-10 12:41:00,2019
110,An individual reported her unattended purse was stolen from International Village dining hall. A report was filed.,2019-12-10 12:51:00,2019
111,An officer reported placing a man unaffiliated with NU under arrest for possession of a class D substance on Hemenway Street. A report was filed.,2019-12-12 12:37:00,2019
112,A proctor in 10 Coventry reported an intoxicated student attempted to sign into the building. Officers responded and reported the student declined medical attention and was left in the care of a friend. A report was filed.,2019-12-13 04:06:00,2019
113,"A resident assistant, or RA, in Speare Hall reported finding a covered smoke detector and smelling marijuana in a room while conducting a health and safety inspection. A report was filed.",2019-12-13 19:53:00,2019
114,An RA in International Village reported smelling marijuana in a room. A report was filed.,2019-12-13 19:57:00,2019
115,An RA in Smith Hall reported finding gum containing THC in a room while conducting health and safety inspections. A report was filed. ,2019-12-13 20:05:00,2019
116,An RA in International Village reported finding a smoke detector that had been tampered with in a room while conducting health and safety inspections. A report was filed.,2019-12-13 20:08:00,2019
117,An RA in International Village reported finding a covered smoke detector and vent in a room while conducting health and safety inspections. A report was filed.,2019-12-13 20:36:00,2019
118,An RA in Kennedy Hall reported finding drug paraphernalia in a room while conducting health and safety inspections. A report was filed.,2019-12-13 21:00:00,2019
119,An officer reported observing five NU students smoking marijuana on the roof of Columbus Garage. Officers reported confiscating a small amount of marijuana and sending the students on their way. A report was filed.,2019-12-13 22:14:00,2019
120,An RA in 10 Coventry reported finding a covered smoke detector in a room. A report was filed.,2019-12-14 11:14:00,2019
121,"An RA in West Village A reported finding drug paraphernalia and alcohol bottles inside a room. Officers responded and reported confiscating a bong, a grinder and a small amount of marijuana. A report was filed.",2019-12-14 12:17:00,2019
122,The manager of Wollaston’s Market in Marino Recreation Center reported stopping a shoplifter. Officers responded and reported speaking to the person and sending them on their way. A report was filed.,2019-12-02 12:00:00,2019
123,An NU student reported her unattended headphones were stolen from a room in Mugar Hall after leaving them there over the weekend. A report was filed.,2019-12-02 17:17:00,2019
124,The manager of Wollaston’s Market in Marino Recreation Center reported a man stealing a banana and a soda. Officers responded and reported they were able to retrieve the items. A report was filed.,2019-12-03 09:01:00,2019
125,An NU student reported his unattended backpack was stolen from Curry Student Center. A report was filed.,2019-12-03 14:46:00,2019
126,An NU student reported a robbery from a safe in her room in White Hall. A report was filed.,2019-12-03 20:41:00,2019
127,An NU student reported his jacket was stolen from the fourth floor of Snell Library while he went to the restroom. A report was filed.,2019-12-04 00:03:00,2019
128,A proctor in Hastings Hall reported a man unaffiliated with NU was urinating in trash cans and smoking marijuana on the first floor of the building. Officers responded and reported the man had been previously banned from NU property. He left on his own when officers approached him. Officers reported the man will be summoned to court for trespassing. A report was filed.,2019-12-04 00:11:00,2019
129,An NU student reported noticing damage to some of his property after his former roommate moved out of their room in Willis Hall. A report was filed.,2019-12-04 10:24:00,2019
130,"The manager of Wollaston’s Market in West Village reported an NU student came in with two reusable grocery totes, filled them with items and left without paying. Officers responded and reported stopping the student and placing him under arrest for shoplifting. A report was filed. ",2019-12-04 13:51:00,2019
131,An NU student reported his laptop may have been stolen. A report was filed. ,2019-12-04 19:56:00,2019
132,An NU student reported he was hit in the head with a piece of ice by a group of teenagers while he was inside the bathroom in West Village G. Officers responded and reported finding the suspects and meeting with the victim for identification. Officers reported bringing the perpetrator to the station. A report was filed. ,2019-12-05 14:10:00,2019
133,A proctor in Burstein Hall reported an NU student entered the building without signing in. Officers responded and reported finding drugs in the student’s room. A report was filed.,2019-12-05 22:22:00,2019
134,An officer reported assisting a man with directions who became aggressive and spit in the officer’s face before fleeing the area. Officers reported checking the area with negative results and requesting an ambulance to transport the officer to Boston Medical Center. A report was filed. ,2019-12-06 01:25:00,2019
135,An NU staff member reported his headphones were stolen near 216 Massachusetts Ave. A report was filed.,2019-12-06 09:43:00,2019
136,A confidential sexual harassment case occurred on campus. A report was filed. ,2019-12-06 13:58:00,2019
137,The manager of Wollaston’s Market in Marino Recreation Center reported a man unaffiliated with NU was shoplifting. Officers responded and reported the man has a lengthy criminal record and had been previously banned from NU property in 2008. Officers issued another trespass and escorted the man off campus. A report was filed. ,2019-12-06 16:16:00,2019
138,An NU student reported observing a heavily intoxicated student who had passed out in the lobby of Davenport B. Officers called an ambulance to transport the student to a hospital. A report was filed.,2019-12-07 00:14:00,2019
139,"A proctor in Davenport A reported a guest of an NU student appeared to be intoxicated. Officers responded and keyed into the NU student’s room after there was no answer at the door. Officers reported requesting emergency medical services, who cleared the student. A report was filed.",2019-12-07 01:28:00,2019
140,A janitor reported an intoxicated student vomited in the elevator in East Village. Officers responded and reported keying into the room after the student did not answer. Officers reported the student denied medical attention. A report was filed.  ,2019-12-07 02:51:00,2019
141,An NU student reported his bike was stolen from the entranceway of 170 St. Alphonsus St. A report was filed.,2019-12-07 18:39:00,2019
142,A resident assistant in Burstein Hall reported responding to an unlock request for an NU student and finding her to be intoxicated. Officers responded and requested an ambulance to transport the student to Beth Israel Deaconess Medical Center for further evaluation. A report was filed.,2019-12-07 20:32:00,2019
143,A confidential sexual harassment case occurred on campus. A report was filed. ,2019-12-07 23:21:00,2019
144,An officer reported stopping a man with a lengthy criminal record inside Curry Student Center while on patrol. The officer reported placing the man under arrest for a prior warrant. A report was filed. ,2019-12-08 09:58:00,2019
145,An officer reported a broken exit sign was ripped from the ceiling outside a room in West Village E. A report was filed. ,2019-11-25 08:18:00,2019
146,An NU student reported his water bottle was stolen from Ryder Hall. A report was filed.,2019-11-25 11:33:00,2019
147,A proctor in Kerr Hall reported being threatened by a man unaffiliated with NU who also broke a window in Cushing Hall before fleeing the scene on a Bluebike. Officers checked the area with negative results. A report was filed. ,2019-11-28 08:09:00,2019
148,An NU student admitted to shoplifting at Wollaston’s Market in Marino Recreation Center on Nov. 11. A report was filed.,2019-11-18 14:49:00,2019
149,An officer reported there were multiple damaged signs inside Stetson East. A report was filed. ,2019-11-18 22:03:00,2019
150,The bookstore manager in Curry Student Center reported observing an individual unaffiliated with NU inside the store who has a history of shoplifting and had previously been banned from NU property. Officers placed him under arrest. A report was filed. ,2019-11-20 13:38:00,2019
151,A residence director reported the previous occupant of a room in International Village covered the smoke detector and may have been smoking marijuana. A report was filed.,2019-11-20 18:57:00,2019
152,"An NU student reported several items were stolen from her unsecured locker inside O’Bryant Hall, which was unlocked for facilities repairs. A report was filed. ",2019-11-21 14:30:00,2019
153,A detective reported confiscating various drugs and paraphernalia from an NU student in Speare Hall. A report was filed.,2019-11-21 22:41:00,2019
154,An officer reported observing an NU student in Marino Recreation Center flipping over a table while being filmed by another student. The officer reported the students were attempting to elicit a response from police while filming the interaction. A report was filed. ,2019-11-22 08:12:00,2019
155,The manager of Wollaston’s Market in Marino Recreation Center reported an NU student shoplifting. Officers reported banning the student from both Wollaston’s Market locations. A report was filed. ,2019-11-22 13:32:00,2019
156,An NU student reported his unattended backpack was stolen from Rebecca’s Cafe. A report was filed. ,2019-11-22 16:18:00,2019
157,"A resident assistant, or RA, in East Village reported receiving a request for medical amnesty for an intoxicated NU student. Officers reported the student was transported to an area hospital. A report was filed. ",2019-11-22 19:01:00,2019
158,"An RA from White Hall reported observing an intoxicated, unconscious student in the fifth floor bathroom. Officers reported the man was unconscious but breathing and that he later regained consciousness and was cleared by Emergency Medical Services, or EMS. A report was filed.",2019-11-23 04:47:00,2019
159,An NU staff member reported his backpack was stolen from a university vehicle. Officers reported finding a man unaffiliated with NU matching the description of the suspect with the stolen backpack. Officers banned the suspect from all NU property and reported he will be later summoned for larceny. A report was filed. ,2019-11-23 09:02:00,2019
160,An NU student reported observing an intoxicated NU student vomiting in the lobby of Stetson West. Officers called an ambulance to transport the student to Brigham and Women’s Hospital. A report was filed. ,2019-11-24 01:00:00,2019
161,An NU student reported observing an intoxicated student crying and running through the hallway of East Village. EMS arrived at the scene and cleared the student. A report was filed. ,2019-11-24 01:48:00,2019
162,The manager of Wollaston’s Market in Marino Recreation Center reported an NU student was shoplifting. Officers banned the student from both Wollaston’s Market locations. A report was filed. ,2019-11-24 15:32:00,2019
163,"INTOXICATED PERSON — A proctor in Kennedy Hall reported observing an NU student who was intoxicated. Officers requested an ambulance, but the student refused treatment, instead signing a medical waiver. A report was filed.
",2019-11-16 03:19:00,2019
164,LARCENY — A man unaffiliated with NU reported his package was taken from the hallway of 146 Hemenway St. A report was filed.,2019-11-16 06:48:00,2019
165,The manager of Wollaston’s Market at Marino Recreation Center reported stopping a man unaffiliated with NU attempting to shoplift. Officers reported the man had a criminal record and banned him from all NU property. A report was filed. ,2019-11-04 13:48:00,2019
166,A proctor in International Village reported their earbuds were stolen while on duty. A report was filed.,2019-11-05 06:13:00,2019
167,An NU student reported two men grabbed her outside of International Village and cornered her friends in Ruggles Station. Officers reported checking the area for the suspects with negative results. A report was filed. ,2019-11-06 00:35:00,2019
168,A proctor in Hastings Hall reported that a man unaffiliated with NU was sleeping near the bathrooms. Officers reported the man had a criminal record and banned him from all NU property. A report was filed. ,2019-11-06 12:34:00,2019
169,An NU student reported her unattended bag was stolen from Shillman Hall. A report was filed.,2019-11-06 15:51:00,2019
170,The manager of Wollaston’s Market at Marino Recreation Center reported a man unaffiliated with NU stole a drink. Officers reported checking the area with negative results. A report was filed. ,2019-11-07 00:08:00,2019
171,The manager of Wollaston’s Market at Marino Recreation Center reported stopping a shoplifter unaffiliated with NU. Officers reported the shoplifter had a criminal record and banned him from all NU property. A report was filed. ,2019-11-07 07:52:00,2019
172,A detective reported attempting to stop two NU students near Cahners Hall and that both students were seen entering Melvin Hall. Officers reported going to the students’ rooms to speak to them and confiscating a Class D substance. A report was filed. ,2019-11-07 18:53:00,2019
173,An RA in Stetson West reported observing an intoxicated student vomiting in the second floor bathroom. Officers requested an ambulance to transport the student to Beth Israel Deaconess Medical Center for further assistance. A report was filed.,2019-11-07 23:28:00,2019
174,The manager of Wollaston’s Market at Marino Recreation Center reported catching an NU student shoplifting. Officers reported banning the student from both Wollaston’s locations. A report was filed. ,2019-11-08 10:27:00,2019
175,A detective reported seeing a group of students on Benton Street with a bag of alcohol heading to Davenport A. Officers reported speaking to the group and confiscating the alcohol. A report was filed. ,2019-11-08 13:49:00,2019
176,An NU student reported his unattended shower caddy and toiletries were stolen from Stetson West. A report was filed. ,2019-11-09 12:49:00,2019
177,An officer reported finding a person unaffiliated with NU inside Hastings Hall without authorization. Officers reported the man had a criminal record and will be summoned to court for trespassing. A report was filed. ,2019-11-09 14:28:00,2019
178,Officers received a report from an unnamed party who claimed to have witnessed a man dealing with stolen property in the West Village area. Officers reported stopping the man and found him to be in possession of a stolen laptop and cell phone. Officers reported the man has a criminal record and is believed to possibly be an MIT student. Officers banned him from all NU property and reported the case to the MIT Police. A report was filed. ,2019-11-10 14:25:00,2019
179,An NU student reported that his bike was stolen from outside Hayden Hall. A report was filed.,2019-10-28 12:22:00,2019
180,An NU staff member reported a bike was stolen from outside the daycare in White Hall. A report was filed.,2019-10-28 17:35:00,2019
181,An NU staff member reported money was stolen from his wallet while he was swimming in Barletta Natatorium. A report was filed.,2019-10-29 19:00:00,2019
182,An emergency medical technician reported a call from an NU student in West Village G who may have been suffering from alcohol poisoning. The student was transported to Beth Israel Deaconess Medical Center for further assistance. A report was filed.,2019-10-31 01:09:00,2019
183,An NU student reported finding an intoxicated student unconscious in the stairway of Willis Hall. Officers called an ambulance to transport the student to Beth Israel Deaconess Medical Center for further assistance. A report was filed.,2019-10-31 02:13:00,2019
184,"An NUPD officer reported shots were fired at Ruggles Station. Units from the transit police and BPD responded. Witnesses reported one of the two suspects fired two shots with his handgun. Officers reported the men fled the scene, heading toward the rear of BPD headquarters. Officers reported searching the area with negative results. A report was filed.",2019-10-31 15:14:00,2019
185,A detective reported confiscating a fake ID from an NU student at the intersection of Gainsborough and St. Botolph streets. A report was filed.,2019-11-01 20:38:00,2019
186,A detective reported confiscating a fake ID from an NU student at 102 Gainsborough St. A report was filed. ,2019-11-01 20:42:00,2019
